title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:くさりおちる【腐落】	type:［新項目］	date:2013年02月12日	citation:軒の樋は赤く腐り落ちて、所どころに残つてゐるばかりである。	book:文豪大町桂月/単行本/1926年/田中貢太郎/200/青山書院	explanation:〔自タ上一〕一部分が腐り、本体となる部分から離れて落ちる。	comment:コメント：そのままの意味ですが、「枯れ落ちる」があるので。	reply:第２版では、立項されませんでした。
title:くされおちる【腐落】	type:［新項目］	date:2013年02月12日	citation:尻に棚つりて趁跛ひくもあり、鼻の腐れ落ちたるもあり	book: 山東亰傳集 全（近代日本文學大系 第十四巻）/単行本/1926年/山東亰傳/841/國民圖書	explanation:〔自タ上一〕一部が腐って、本体となる部分から離れて落ちる。	comment:コメント：「腐り落ちる」と同じです。	reply:第２版では、立項されませんでした。
title:くさりはてる【腐果】	type:［新項目］	date:2013年02月12日	citation:さながら女童の腐り果てた様に、ひた泣きに泣く事はソモ何事ぞや。	book:白隠禅師集/単行本/1938年/常盤大定 校/448/大日本文庫刊行会	explanation:〔自タ下一〕すっかり腐ってしまう。	comment:コメント：枯れ果てる・朽ち果てるなどがあるため。	reply:第２版では、立項されませんでした。
title:くされはてる【腐果】	type:［新項目］	date:2013年02月12日	citation:この腐れ果てたる社會の男女關係を 清からしむるものは	book:社会改造の根本問題/単行本/1921年/左近義弼/53/聖書改訳社	explanation:〔自タ下一〕すっかり腐ってしまう。すっかり堕落している。	comment:コメント：「腐り果てる」と同じです。どちらも本義でも使われますが、「すっかり堕落している」の意味で使うことが多いようです。	reply:第２版では、立項されませんでした。
title:くずれこむ【崩込】	type:［新項目］	date:2013年02月12日	citation:眞青になつて、よろめき乍ら椅子の中へ崩れ込み	book:古典劇大系 第十一巻/単行本/1926年/不明/14/近代社	explanation:〔自マ五〕くずれるように倒れ込む。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:どんびく【―引】	type:［新項目］	date:2013年02月18日	citation:津波の前の引き潮のようにドン引くあづみの、	book:唯眞仁/単行本/2007年/天乃 みかえる/267/文芸社	explanation:〔自カ五〕理解できない考えや行動に接し、強い拒否感をおぼえる。	comment:コメント：「どんびき」からの動詞化ですが、とりあえず。	reply:第２版では、立項されませんでした。
title:こびれつく【─付】	type:［新項目］	date:2013年02月12日	citation:たとへ彼女の命が半分通りこびれ附いて殘つてしまつたつて構はないんだ。	book:古典劇大系 第十一巻/単行本/1926年/不明/25/近代社	explanation:〔自カ五〕「こびりつく」に同じ。	comment:コメント：「くずれこむ」の用例を探していて目にとまったので。あまり数は多くないのですが、とりあえず。	reply:第２版では、立項されませんでした。
title:くずれおれる【崩折】	type:［新項目］	date:2013年02月12日	citation:鏡台の前に崩れ折れると、をかしいほど一時に酔ひが顔へ出た。	book:現代日本文学大系52 川端康成集/単行本/1968年/川端 康成/20/筑摩書房	explanation:「くずおれる」に同じ。	comment:コメント：誤用とされるものですが、継続して用例があるので。Google Books より。不正確であれば申し訳ありません。	reply:第２版では、立項されませんでした。
title:くだきわる【砕割】	type:［新項目］	date:2013年02月12日	citation:玉座を砕き割り、王宮に居座る者どもを一気に追い落としにかかろう。	book:呂布 「飛将」と謳われた三国志最強の武将/単行本/2009年/加野厚志/102/PHP研究所	explanation:〔他ラ五〕粉々に砕く。	comment:コメント：「割り砕く」と似ていますが、ニュアンスが違うように感じます。	reply:第２版では、立項されませんでした。
title:くちおちる【朽落】	type:［新項目］	date:2013年02月12日	citation:九萬日老いて朽ち落ちし破れのさまもそのままに影を投げたる廣穗田の	book:啄木全集 第三巻/単行本/1961年/石川啄木/24/岩波書店	explanation:〔自タ上一〕朽ちて落ちる。	comment:コメント：Google Books より。不正確であれば申し訳ありません。	reply:第２版では、立項されませんでした。
title:くみおく【汲置】	type:［新項目］	date:2013年02月12日	citation:水道を汲み置きたるをも捨（すて）	book:名家漫筆集（帝国文庫 第23篇）/単行本/1929年/長谷川 天渓/662/帝国文庫	explanation:〔自カ五〕水を汲んでおく。	comment:コメント：「汲み置く」に対応する動詞です。	reply:第２版では、立項されませんでした。
title:くりひろがる【繰広】	type:［新項目］	date:2013年02月12日	citation:開会式が終了すると、選手は群馬県の各地で開催される競技会場に急ぎ、三日間の熱戦が繰り広がる。	book:学級崩壊はこうして回避できた: 先生と生徒の努力で活力ある学園が生まれた/単行本/2001年/内山 正則/159/文芸社	explanation:〔自ラ五〕次から次へと情景が展開される。繰り広げられる。	comment:コメント：「繰り広げる」に対応する自動詞です。	reply:第２版では、立項されませんでした。
title:くるいざく【狂咲】	type:［新項目］	date:2013年02月12日	citation:枯れ木に花がくるいざいたのか	book:性暴力問題資料集成 (第9巻)/単行本/2005年/不二出版/97/不二出版	explanation:〔自カ五〕「くるいさく」に同じ。	comment:コメント：「狂い咲く」の別の読みです。現在ではこちらのほうが多いのではないでしょうか。Google Books からなので、不正確であれば申し訳ありません。	reply:むしろ、２版の見出し形を「くるいざく」にし、語釈で「くるいさく」とも、とすべきかも知れません。
title:くわえあわせる【加合】	type:［新項目］	date:2013年02月12日	citation:選みたる固定軸に關して夫れ夫れの物體の運動量の能率を取りそれを加へ合はせたるものであつて	book:天文大観/単行本/1919年/新城新蔵/184/岩波書店	explanation:〔他サ下一〕ある数量に更に数量をつけ加える。あるもの全部を合計する。	comment:コメント：「たしあわせる」の語釈を流用しました。	reply:第２版では、立項されませんでした。
title:くわえいれる【加入】	type:［新項目］	date:2013年02月12日	citation:胡粉と墨とを之に加へ入れて之を用う。	book:大日本文庫 芸道篇 画道集/単行本/1938年/滝 精一 （校訂）/136/春陽堂書店	explanation:〔他ラ下一〕追加して入れる。	comment:コメント：今でも、特に料理などでよく使います。	reply:第２版では、立項されませんでした。
